Batas1,Batas2,Target
3 , 5 , 40.67
4 , 6 , 58.67
5 , 7 , 80.67
6 , 8 , 106.67
6 , 8 , 106.67
7 , 9 , 136.67
8 , 10 , 170.67
9 , 11 , 208.67
10 , 12 , 250.67
11 , 13 , 286.67
12 , 14 , 336.67
13 , 15 , 390.67
14 , 16 , 448.67
15 , 17 , 510.67
16 , 18 , 576.67
17 , 19 , 646.67
18 , 20 , 720.67
19 , 21 , 798.67
1 , 2 , 11.42
2 , 3 , 31.92
3 , 4 , 71.42
4 , 5 , 135.92
5 , 6 , 231.42
6 , 7 , 363.92
7 , 8 , 539.42
8 , 9 , 763.92
9 , 10 , 1043.42
10 , 11 , 1383.92
5 , 12 , 3276.03
6 , 13 , 4032.03
7 , 14 , 4872.03
8 , 15 , 5796.03
9 , 16 , 6804.03
10 , 17 , 7896.03
11 , 18 , 9072.03
12 , 19 , 10332.03
13 , 20 , 11676.03
14 , 21 , 13104.03
2 , 3 , 22.58
3 , 4 , 56.08
4 , 5 , 112.58
5 , 6 , 198.08
6 , 7 , 318.58
7 , 8 , 480.08
8 , 9 , 688.58

9 , 10 , 950.08
10 , 11 , 1270.58
3 , 4 , 15.83
4 , 5 , 24.83
5 , 6 , 35.83
6 , 7 , 48.83
7 , 8 , 63.83
8 , 9 , 80.83
9 , 10 , 99.83
10 , 11 , 120.83
11 , 12 , 143.83
2 , 6 , 1556.91
3 , 7 , 3320.97
4 , 8 , 6357.04
5 , 9 , 11193.12
1 , 7 , 23537.27
2 , 8 , 45840.63
3 , 9 , 82340.3
4 , 10 , 138580.26
5 , 11 , 221112.53
6 , 12 , 337497.1
7 , 13 , 496301.97
8 , 14 , 707103.15
9 , 15 , 980484.63
10 , 16 , 1328038.41
1 , 4 , 682.6
2 , 5 , 2593.73
3 , 6 , 7654.96
4 , 7 , 18926.3
5 , 8 , 41087.8
6 , 9 , 80799.47
7 , 10 , 147061.35
8 , 11 , 251573.45
9 , 12 , 409095.82
10 , 13 , 637808.46
